"fk_id_object"|"fk_id_metaindex"|"name"|"en"|"de"
100007|10001|"objecttype"|"Wreck"|"Schiffswrack"
100007|404|"culture"|"Iron Age"|"Eisenzeitlich"
100007|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
100008|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
100008|10001|"objecttype"|"Wreck"|"Schiffswrack"
100008|418|"culture"|"Viking Age"|"Wikingerzeitlich"
100009|10001|"objecttype"|"Wreck"|"Schiffswrack"
100009|418|"culture"|"Viking Age"|"Wikingerzeitlich"
100009|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
100010|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
100010|10001|"objecttype"|"Wreck"|"Schiffswrack"
100010|423|"culture"|"Roman"|"Römisch"
100010|404|"culture"|"Iron Age"|"Eisenzeitlich"
100011|423|"culture"|"Roman"|"Römisch"
100011|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
100011|10001|"objecttype"|"Wreck"|"Schiffswrack"
100012|423|"culture"|"Roman"|"Römisch"
100012|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
100012|10001|"objecttype"|"Wreck"|"Schiffswrack"
100013|423|"culture"|"Roman"|"Römisch"
100013|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
100013|10001|"objecttype"|"Wreck"|"Schiffswrack"
100014|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
100014|423|"culture"|"Roman"|"Römisch"
100014|10001|"objecttype"|"Wreck"|"Schiffswrack"
100015|10001|"objecttype"|"Wreck"|"Schiffswrack"
100015|423|"culture"|"Roman"|"Römisch"
100015|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
100016|423|"culture"|"Roman"|"Römisch"
100016|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
100016|10001|"objecttype"|"Wreck"|"Schiffswrack"
100017|10001|"objecttype"|"Wreck"|"Schiffswrack"
100017|423|"culture"|"Roman"|"Römisch"
100017|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
100018|423|"culture"|"Roman"|"Römisch"
100018|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
100018|10001|"objecttype"|"Wreck"|"Schiffswrack"
100019|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
100019|10001|"objecttype"|"Wreck"|"Schiffswrack"
100020|423|"culture"|"Roman"|"Römisch"
100020|10001|"objecttype"|"Wreck"|"Schiffswrack"
100020|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
100021|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
100021|423|"culture"|"Roman"|"Römisch"
100021|10001|"objecttype"|"Wreck"|"Schiffswrack"
100022|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
100022|423|"culture"|"Roman"|"Römisch"
100022|10001|"objecttype"|"Wreck"|"Schiffswrack"
100023|402|"culture"|"Bronze Age"|"Bronzezeitlich"
100023|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
100023|10001|"objecttype"|"Wreck"|"Schiffswrack"
100024|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
100024|10001|"objecttype"|"Wreck"|"Schiffswrack"
100024|423|"culture"|"Roman"|"Römisch"
100025|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
100025|4020|"material"|"Willow (Salix)"|"Weide"
100025|10001|"objecttype"|"Wreck"|"Schiffswrack"
100025|404|"culture"|"Iron Age"|"Eisenzeitlich"
100026|10001|"objecttype"|"Wreck"|"Schiffswrack"
100026|402|"culture"|"Bronze Age"|"Bronzezeitlich"
100026|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
100027|4001|"material"|"Ash (Fraxinus spp.)"|"Esche"
100027|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
100027|402|"culture"|"Bronze Age"|"Bronzezeitlich"
100027|10001|"objecttype"|"Wreck"|"Schiffswrack"
100028|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
100028|402|"culture"|"Bronze Age"|"Bronzezeitlich"
100028|10001|"objecttype"|"Wreck"|"Schiffswrack"
100029|10001|"objecttype"|"Wreck"|"Schiffswrack"
100029|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
100029|402|"culture"|"Bronze Age"|"Bronzezeitlich"
100030|423|"culture"|"Roman"|"Römisch"
100030|10001|"objecttype"|"Wreck"|"Schiffswrack"
100030|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
100031|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
100031|423|"culture"|"Roman"|"Römisch"
100031|10001|"objecttype"|"Wreck"|"Schiffswrack"
100032|10001|"objecttype"|"Wreck"|"Schiffswrack"
100032|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
100032|423|"culture"|"Roman"|"Römisch"
100033|10001|"objecttype"|"Wreck"|"Schiffswrack"
100033|423|"culture"|"Roman"|"Römisch"
100033|4014|"material"|"Oak (Quercus spp.)"|"Eiche"
